attribute,category,type,question,option_1,option_2,option_3,result_majority,agreement
Brittleness,adhesive_tape,Physics,"Brittleness: How easy is it for an adhesive_tape to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Elasticity,aerosol,Physics,"Elasticity: If you were to deform an aerosol (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Surface smoothness,aerosol,Physics,Surface smoothness: What is the surface smoothness of an aerosol?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Softness,aerosol,Physics,"Softness: What is the softness (fluffyness, squishiness) of an aerosol?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,aerosol,Physics,Sharpness: What is sharpness of an aerosol?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,aerosol,Physics,Malleability: Can an aerosol be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,alarm_clock,Physics,"Elasticity: If you were to deform an alarm_clock (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,alarm_clock,Physics,"Softness: What is the softness (fluffyness, squishiness) of an alarm_clock?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Malleability,alarm_clock,Physics,Malleability: Can an alarm_clock be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,alcohol,Physics,"Elasticity: If you were to deform an alcohol (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,alcohol,Physics,"Brittleness: How easy is it for an alcohol to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,3.0,1.0
Softness,alcohol,Physics,"Softness: What is the softness (fluffyness, squishiness) of an alcohol?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
